post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260820-PIN,2026-08-20,20:00,ET,Thu,Pinterest,ESCAPE VELOCITY,Money & Personal Finance,T04,Video Pin · vertical MP4 (1080x1920),yes,Your first $10K changes the game — and not the way you think.,How To Save Your First 10K,video.mp4,content_backlog/pinterest/GG-260820-PIN,How To Save Your First 10K — the quick breakdown. Your first $10K changes the game — and not the way you think. The number matters. The identity shift matters more. Save this pin for the next time you need it.
GG-260823-PIN,2026-08-23,20:00,ET,Sun,Pinterest,PURCHASE LAB,Money & Personal Finance,T07,Pin 1000x1500,no,Would you still want it if nobody could ever see it?,Stop Impulse Spending,01_pin.png,content_backlog/pinterest/GG-260823-PIN,"Stop Impulse Spending. Would you still want it if nobody could ever see it? Separate preference from performance. Save this pin for later, and follow @gogettrdaily for more."
GG-260825-PIN,2026-08-25,20:00,ET,Tue,Pinterest,MONEY SYSTEMS,Money & Personal Finance,T09,Pin 1000x1500,no,Own these before you own the flex.,Financial Priorities In Order,01_pin.png,content_backlog/pinterest/GG-260825-PIN,"Financial Priorities In Order. Own these before you own the flex. Foundation before decoration. Save this pin for later, and follow @gogettrdaily for more."
GG-260827-PIN,2026-08-27,20:00,ET,Thu,Pinterest,MONEY SYSTEMS,Money & Personal Finance,T11,Pin 1000x1500,no,You get $100. It must improve next month. Where does it go?,Best Way To Spend 100 Dollars,01_pin.png,content_backlog/pinterest/GG-260827-PIN,"Best Way To Spend 100 Dollars. You get $100. It must improve next month. Where does it go? Give each dollar one job. Save this pin for later, and follow @gogettrdaily for more."
GG-260902-PIN,2026-09-02,20:00,ET,Wed,Pinterest,ESCAPE VELOCITY,Money & Personal Finance,T17,Pin 1000x1500,no,How many months could you breathe if income stopped tomorrow?,How To Calculate Your Runway,01_pin.png,content_backlog/pinterest/GG-260902-PIN,"How To Calculate Your Runway. How many months could you breathe if income stopped tomorrow? That is runway, not net worth. Build the number that changes decisions. Save this pin for later, and follow @gogettrdaily for more."
GG-260903-PIN,2026-09-03,20:00,ET,Thu,Pinterest,RECEIPTS,Money & Personal Finance,T18,Carousel Pin · 3 cards (1000x1500),no,Things that look like success but usually are not.,Fake Success Vs Real Success,01_pin.png,content_backlog/pinterest/GG-260903-PIN,"Fake Success Vs Real Success: swipe through all 3 cards. Things that look like success but usually are not. Measure what compounds, not what photographs well. Save this pin and follow for systems that actually stick."
GG-260904-PIN,2026-09-04,20:00,ET,Fri,Pinterest,MONEY SYSTEMS,Money & Personal Finance,T19,Pin 1000x1500,no,You are paying for more than apps. Most of it is invisible.,How To Cut Subscriptions And Save,01_pin.png,content_backlog/pinterest/GG-260904-PIN,"How To Cut Subscriptions And Save. You are paying for more than apps. Most of it is invisible. Price the behavior, not just the subscription. Save this pin for later, and follow @gogettrdaily for more."
GG-260908-PIN,2026-09-08,20:00,ET,Tue,Pinterest,ONE-WAY DOORS,Money & Personal Finance,T23,Pin 1000x1500,no,The most expensive habit nobody prices: waiting.,Cost Of Waiting Too Long,01_pin.png,content_backlog/pinterest/GG-260908-PIN,"Cost Of Waiting Too Long. The most expensive habit nobody prices: waiting. Delay compounds too. Save this pin for later, and follow @gogettrdaily for more."
GG-260909-PIN,2026-09-09,20:00,ET,Wed,Pinterest,PURCHASE LAB,Money & Personal Finance,T24,Video Pin · vertical MP4 (1080x1920),yes,Cheap gets expensive when you use it every day.,Buy It For Life Essentials,video.mp4,content_backlog/pinterest/GG-260909-PIN,Buy It For Life Essentials — the quick breakdown. Cheap gets expensive when you use it every day. Buy once where it touches your body and your work. Save this pin for the next time you need it.
GG-260911-PIN,2026-09-11,20:00,ET,Fri,Pinterest,MONEY SYSTEMS,Money & Personal Finance,T26,Carousel Pin · 3 cards (1000x1500),no,"Two people get the same $1,000. Same money, different year.",Smart Ways To Use 1000 Dollars,01_pin.png,content_backlog/pinterest/GG-260911-PIN,"Smart Ways To Use 1000 Dollars: swipe through all 3 cards. Two people get the same $1,000. Same money, different year. Same money. Different sequence. Save this pin and follow for systems that actually stick."
GG-260915-PIN,2026-09-15,20:00,ET,Tue,Pinterest,PURCHASE LAB,Money & Personal Finance,T30,Carousel Pin · 3 cards (1000x1500),no,Checkout can wait 60 seconds. Run the first check.,How To Stop Impulse Buying,01_pin.png,content_backlog/pinterest/GG-260915-PIN,"How To Stop Impulse Buying: swipe through all 3 cards. Checkout can wait 60 seconds. Run the first check. If the answers are weak, leave the tab open. Save this pin and follow for systems that actually stick."
GG-260917-PIN,2026-09-17,20:00,ET,Thu,Pinterest,ESCAPE VELOCITY,Money & Personal Finance,T32,Video Pin · vertical MP4 (1080x1920),yes,Which skill could move your income without changing your whole life?,High Income Skills To Learn,video.mp4,content_backlog/pinterest/GG-260917-PIN,High Income Skills To Learn — the quick breakdown. Which skill could move your income without changing your whole life? Map skill to income before you burn a year. Save this pin for the next time you need it.
