post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260817-PIN,2026-08-17,20:00,ET,Mon,Pinterest,SYSTEM DESIGN,Self Improvement & Discipline,T01,Pin 1000x1500,no,You do not need more motivation. You need fewer decisions.,Systems That Beat Willpower,01_pin.png,content_backlog/pinterest/GG-260817-PIN,Systems That Beat Willpower. You do not need more motivation. You need fewer decisions. Willpower is a tax you pay every morning. A system pays it once. Save this pin for the next time you need it. Follow @gogettrdaily for more.
GG-260819-PIN,2026-08-19,20:00,ET,Wed,Pinterest,THE AUDIT,Self Improvement & Discipline,T03,Pin 1000x1500,no,"If nothing changes for 365 days, are you okay with the result?",Life Audit Checklist,01_pin.png,content_backlog/pinterest/GG-260819-PIN,"Life Audit Checklist. If nothing changes for 365 days, are you okay with the result? Answer honestly. Your lowest answer is your next project. Save this pin for the next time you need it. Follow @gogettrdaily for more."
GG-260821-PIN,2026-08-21,20:00,ET,Fri,Pinterest,RECEIPTS,Self Improvement & Discipline,T05,Pin 1000x1500,no,At some point the handoff never comes. The first move is yours.,Take Ownership Of Your Life,01_pin.png,content_backlog/pinterest/GG-260821-PIN,Take Ownership Of Your Life. At some point the handoff never comes. The first move is yours. Responsibility is where leverage starts. Save this pin for the next time you need it. Follow @gogettrdaily for more.
GG-260901-PIN,2026-09-01,20:00,ET,Tue,Pinterest,DECISION FILTER,Self Improvement & Discipline,T16,Pin 1000x1500,no,"Before the next yes, buy, quit or delay — run this test.",How To Make Better Decisions,01_pin.png,content_backlog/pinterest/GG-260901-PIN,"How To Make Better Decisions. Before the next yes, buy, quit or delay — run this test. Make decisions for the person who inherits them. Save this pin for the next time you need it. Follow @gogettrdaily for more."
GG-260914-PIN,2026-09-14,20:00,ET,Mon,Pinterest,BORING EDGE,Self Improvement & Discipline,T29,Pin 1000x1500,no,What successful people make boring.,Boring Habits That Build Success,01_pin.png,content_backlog/pinterest/GG-260914-PIN,Boring Habits That Build Success. What successful people make boring. The goal is to make the right move unsurprising. Save this pin for the next time you need it. Follow @gogettrdaily for more.
GG-260918-PIN,2026-09-18,20:00,ET,Fri,Pinterest,THE AUDIT,Self Improvement & Discipline,T33,Pin 1000x1500,no,"How together is your life, actually? Score it.",Life Scorecard Self Assessment,01_pin.png,content_backlog/pinterest/GG-260918-PIN,"Life Scorecard Self Assessment. How together is your life, actually? Score it. Lowest score gets the next 30 days. Save this pin for the next time you need it. Follow @gogettrdaily for more."
GG-260926-PIN,2026-09-26,20:00,ET,Sat,Pinterest,SYSTEM DESIGN,Self Improvement & Discipline,T41,Pin 1000x1500,no,Steal one operating habit from each kind of high performer.,Habits Of High Performers,01_pin.png,content_backlog/pinterest/GG-260926-PIN,Habits Of High Performers. Steal one operating habit from each kind of high performer. You do not need their life. Take their habit. Save this pin for the next time you need it. Follow @gogettrdaily for more.
GG-260928-PIN,2026-09-28,20:00,ET,Mon,Pinterest,THE AUDIT,Self Improvement & Discipline,T43,Pin 1000x1500,no,"You might be consuming self-improvement, not doing it.",Stop Consuming Start Doing,01_pin.png,content_backlog/pinterest/GG-260928-PIN,"Stop Consuming Start Doing. You might be consuming self-improvement, not doing it. Count implementations, not inputs. Save this pin for the next time you need it. Follow @gogettrdaily for more."
GG-261002-PIN,2026-10-02,20:00,ET,Fri,Pinterest,ONE-WAY DOORS,Self Improvement & Discipline,T47,Pin 1000x1500,no,Two versions of you wake up tomorrow. Which one gets the better year?,Small Decisions Big Impact,01_pin.png,content_backlog/pinterest/GG-261002-PIN,Small Decisions Big Impact. Two versions of you wake up tomorrow. Which one gets the better year? Small forks become different lives. Save this pin for the next time you need it. Follow @gogettrdaily for more.
GG-261007-PIN,2026-10-07,20:00,ET,Wed,Pinterest,BORING EDGE,Self Improvement & Discipline,T52,Pin 1000x1500,no,Consistency is not intensity. It is making the right move unsurprising.,How To Stay Consistent,01_pin.png,content_backlog/pinterest/GG-261007-PIN,"How To Stay Consistent. Consistency is not intensity. It is making the right move unsurprising. Boring on the outside, compounding underneath. Save this pin for the next time you need it. Follow @gogettrdaily for more."
GG-261011-PIN,2026-10-11,20:00,ET,Sun,Pinterest,SYSTEM DESIGN,Self Improvement & Discipline,T56,Pin 1000x1500,no,You do not rise to your goals. You fall to your systems.,How To Build Life Systems That Last,01_pin.png,content_backlog/pinterest/GG-261011-PIN,"How To Build Life Systems That Last. You do not rise to your goals. You fall to your systems. Eight weeks in one line: build the machine, skip the mood. Save this pin for the next time you need it. Follow @gogettrdaily for more."
