post_id,date,time,tz,weekday,platform,pillar,board,theme_id,format,is_video,hook,title,primary_asset,asset_folder,caption
GG-260817-FB,2026-08-17,09:00,ET,Mon,Facebook,SYSTEM DESIGN,,T01,Single image (1080x1350),no,You do not need more motivation. You need fewer decisions.,,01_card.png,content_backlog/facebook/GG-260817-FB,"You do not need more motivation. You need fewer decisions.

Willpower is a tax you pay every morning. A system pays it once.

→ Same wake window, every day.
→ Automatic transfers on payday.
→ Training clothes staged before bed.
→ Tomorrow planned before today ends.
→ Remove the daily negotiation.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#productivity #selfimprovement"
GG-260818-FB,2026-08-18,09:00,ET,Tue,Facebook,168 HOURS,,T02,Single image (1080x1350),no,Your 9 to 5 pays today. What does 6 to 10 build?,,01_card.png,content_backlog/facebook/GG-260818-FB,"Your 9 to 5 pays today. What does 6 to 10 build?

Four hours a night, repeated, becomes a direction.

→ 6-7: come down.
→ 7-8: train.
→ 8-9: build one skill or asset.
→ 9-10: set tomorrow up.
→ Four hours repeated becomes a direction.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#productivity #selfimprovement"
GG-260819-FB,2026-08-19,09:00,ET,Wed,Facebook,THE AUDIT,,T03,Single image (1080x1350),no,"If nothing changes for 365 days, are you okay with the result?",,01_card.png,content_backlog/facebook/GG-260819-FB,"If nothing changes for 365 days, are you okay with the result?

Answer honestly. Your lowest answer is your next project.

→ Same income?
→ Same body?
→ Same habits?
→ Same people around you?
→ Your lowest answer is the next project.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#mindset #selfimprovement"
GG-260820-FB,2026-08-20,09:00,ET,Thu,Facebook,ESCAPE VELOCITY,,T04,Single image (1080x1350),no,Your first $10K changes the game — and not the way you think.,,01_card.png,content_backlog/facebook/GG-260820-FB,"Your first $10K changes the game — and not the way you think.

The number matters. The identity shift matters more.

→ First real breathing room.
→ First proof you can keep money.
→ First time a problem does not become a crisis.
→ First taste of optionality.
→ The identity shift outlasts the balance.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#money #selfimprovement"
GG-260821-FB,2026-08-21,09:00,ET,Fri,Facebook,RECEIPTS,,T05,Single image (1080x1350),no,At some point the handoff never comes. The first move is yours.,,01_card.png,content_backlog/facebook/GG-260821-FB,"At some point the handoff never comes. The first move is yours.

Responsibility is where leverage starts.

→ No one builds your savings.
→ No one protects your calendar.
→ No one trains your body for you.
→ No one creates your next option.
→ Responsibility is where leverage starts.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#mindset #selfimprovement"
GG-260822-FB,2026-08-22,09:00,ET,Sat,Facebook,ENVIRONMENT ENGINEERING,,T06,Single image (1080x1350),no,Want Monday to feel less expensive? Pay for it on Sunday.,,01_card.png,content_backlog/facebook/GG-260822-FB,"Want Monday to feel less expensive? Pay for it on Sunday.

Make Monday start before Monday.

→ Read the week's calendar.
→ Choose three outcomes.
→ Reset your room.
→ Stage food, clothes and chargers.
→ Make Monday start before Monday.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#productivity #selfimprovement"
GG-260823-FB,2026-08-23,09:00,ET,Sun,Facebook,PURCHASE LAB,,T07,Single image (1080x1350),no,Would you still want it if nobody could ever see it?,,01_card.png,content_backlog/facebook/GG-260823-FB,"Would you still want it if nobody could ever see it?

Separate preference from performance.

→ Remove the audience.
→ Remove the logo.
→ Remove the launch-day hype.
→ Remove your friends seeing it.
→ Still want it?

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#money #selfimprovement"
GG-260824-FB,2026-08-24,09:00,ET,Mon,Facebook,THE AUDIT,,T08,Single image (1080x1350),no,Your week is leaking. Find the hole before you add another goal.,,01_card.png,content_backlog/facebook/GG-260824-FB,"Your week is leaking. Find the hole before you add another goal.

For seven days, mark every block that was neither work nor recovery.

→ Mark every non-work, non-recovery block.
→ Circle anything you did by default.
→ Add the minutes.
→ Pick the biggest leak.
→ Next week, block it before it starts.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#productivity #selfimprovement"
GG-260825-FB,2026-08-25,09:00,ET,Tue,Facebook,MONEY SYSTEMS,,T09,Single image (1080x1350),no,Own these before you own the flex.,,01_card.png,content_backlog/facebook/GG-260825-FB,"Own these before you own the flex.

Foundation before decoration.

→ Emergency cash.
→ Reliable tools for work.
→ A sleep setup that works.
→ Basic home and car readiness.
→ Foundation before decoration.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#money #selfimprovement"
GG-260826-FB,2026-08-26,09:00,ET,Wed,Facebook,WORK CAPACITY,,T10,Single image (1080x1350),no,How to become hard to replace — without a new title.,,01_card.png,content_backlog/facebook/GG-260826-FB,"How to become hard to replace — without a new title.

Career security is a stack, not a label.

→ Solve before escalation.
→ Write clearly.
→ Learn without a classroom.
→ Keep promises.
→ Make the people around you better.

Which one would move your month the most? Tell me below. (Save the post so it is there when you need it.)

#career #selfimprovement"
